岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
经济观察报实习记者,面议,3个月,1. 对行业与相关领域的热点快速反应，行业会议与活动的第一现场报道采写；,本科,5,2023-04-06 15:54,经济观察报,101~300人,北京,广告|传媒|文化|体育
实习生,3-4K/月,长期,集团包含项目各岗位可实习,大专,10,2023-02-22 10:48,诚信行物业,3001人及以上,广东,建筑|地产|家居
互联网海外广告运营实习生,面议,3个月,1、统筹与执行客户与代理的广告订单，每日广告状况查看维护，根据目标进行数据分析，以完成上线广告的后续优化；,本科,10,2020-10-24 12:13,小米,3001人及以上,北京,互联网|游戏|软件
HR实习生-招聘方向,120-150元/天,3个月,工作地点：深圳,本科,2,2021-09-16 16:35,小米,3001人及以上,北京,互联网|游戏|软件
咖啡/面包实习生,面议,3个月,1、制作和提供品质如一的饮品和食品；,大专,2,2023-04-03 13:49,益海嘉里,3001人及以上,上海,交通|物流|贸易
社区内容运营实习,150-200元/天,长期,-负责挖掘头像、壁纸、表情包、素材等内容的流行趋势和玩法；,本科,1,2023-04-10 16:33,堆糖,51~100人,上海,互联网|游戏|软件
客户执行实习生,120-150元/天,3个月,1）协助客户经理做好客户后续衔接与公司内部的相关执行工作。,本科,2,2023-03-23 10:13,爱点击,1001~3000人,上海,互联网|游戏|软件
国际物流管理实习生,150-180元/天,3个月,1、 负责根据制单要求制作发票、箱单、产地证，负责出具海运保单以及其他所需单证，负责与客户确认全套资料；,本科,1,2023-03-30 10:49,美的集团,3001人及以上,广东,汽车|机械|制造
人事实习生,2-3K/月,3个月,1.协助办理集团及事业部所有员工的入离职的登记：,本科,1,2023-04-07 18:53,悍高集团股份有限公司,1001~3000人,广东,建筑|地产|家居
校园推广大使,面议,长期,1.负责校园内打车软件的推广工作，完成推广团队的招募及管理,硕士,30,2023-04-04 15:39,货拉拉,3001人及以上,广东,互联网|游戏|软件
剪辑实习生,120-150元/天,3个月,主要负责公司旗下红人、艺术家设计师的抖音、小红书或B站的内容剪辑：根据前期同事脚本需求，完成剪辑、节奏、结构、字幕效果、音效等创作。,本科,1,2023-04-06 11:43,爱点击,1001~3000人,上海,互联网|游戏|软件
政府信息化咨询助理,面议,6个月,1.协助咨询顾问为政府相关委办局提供政府信息化相关的全过程咨询服务，包括政府信息化项目的前期咨询、深化设计、监理服务等工作，解决政府相关委办局客户信息化建设中相关专业领域的整体架构、建设方案、过程管理、合法合规等各类管理问题。,本科,3,2023-04-07 16:14,邮研院,1001~3000人,上海,IT|通信|电子
校园招聘助理实习生,100-120元/天,4个月,A股上市公司科锐国际校园招聘业务招聘助理实习生,本科,1,2023-04-10 10:13,科锐国际,3001人及以上,北京,咨询/法律/人力资源
人事实习生,2-3K/月,3个月,1.协助办理集团及事业部所有员工的入离职的登记：,本科,1,2023-04-07 18:53,悍高集团股份有限公司,1001~3000人,广东,建筑|地产|家居
校园推广大使,面议,长期,1.负责校园内打车软件的推广工作，完成推广团队的招募及管理,硕士,30,2023-04-04 15:39,货拉拉,3001人及以上,广东,互联网|游戏|软件
短期线上录入实习生,150-200元/天,1个月,项目类型：信息审核兼职,不限,10,2023-04-07 16:30,点米科技,301~1000人,广东,互联网|游戏|软件
战略客户总部实习生（市场营销方向）,120-150元/天,3个月,1.对网络相关市场资讯、企业年报、竞品趋势等，进行搜索、整理和分析；,本科,1,2023-04-04 11:27,云南信托,101~300人,上海,金融
PR实习生,150-200元/天,5个月,1.按时完成舆情周报/竞品日报/简报/专报等撰写工作；,本科,1,2023-04-10 13:56,货拉拉,3001人及以上,广东,互联网|游戏|软件
财务实习生,100-120元/天,3个月,1、报销单据的初审及入账工作；,本科,2,2023-04-07 16:13,碧桂园集团,3001人及以上,广东,建筑|地产|家居
策划实习生,100-150元/天,6个月,1、协助策划、筹备、执行线下会议营销活动（包括展会、区域经销商会、新品发布会等）,本科,1,2023-04-07 09:38,理邦仪器,1001~3000人,广东,生物|医药
新媒体运营实习生,100-150元/天,6个月,工作职责：,本科,1,2023-04-06 16:19,理邦仪器,1001~3000人,广东,生物|医药
人力资源实习生,100-150元/天,6个月,协助人力资源日常事务性工作特别是招聘工作的开展，配合专业项目工作的组织和落地。,本科,1,2023-04-10 09:38,华润三九,3001人及以上,广东,生物|医药
猎头实习生,面议,3个月,1.根据客户所在行业，客户需求以及目标职位的分析，拟定一套完善的用人寻访目标公司和候选人寻访方案,本科,30,2023-04-10 10:30,科锐国际,1001~3000人,北京,咨询/法律/人力资源
猎头/招聘实习生（本岗位需深圳线下实习）,120-150元/天,3个月,【猎头/招聘实习生（需深圳线下实习）】 ,本科,5,2023-04-07 17:42,科锐国际,3001人及以上,北京,咨询/法律/人力资源
Marketing Intern-上海乐高乐园度假区,149-150元/天,长期,Responsibilities:,本科,1,2023-04-06 16:28,上海乐高乐园度假区,1001~3000人,上海,生活服务
市场营销,6-12K/月,6个月,1.负责公司产品的销售及推广； ,大专,5,2023-04-07 18:15,乐有家控股集团,3001人及以上,广东,建筑|地产|家居
剪辑实习生,120-150元/天,3个月,主要负责公司旗下红人、艺术家设计师的抖音、小红书或B站的内容剪辑：根据前期同事脚本需求，完成剪辑、节奏、结构、字幕效果、音效等创作。,本科,1,2023-04-06 11:43,爱点击,1001~3000人,上海,互联网|游戏|软件
校园招聘助理实习生,100-120元/天,4个月,A股上市公司科锐国际校园招聘业务招聘助理实习生,本科,1,2023-04-10 10:13,科锐国际,3001人及以上,北京,咨询/法律/人力资源
财务管理实习生,120-150元/天,长期,1、协助进行科目对账，资金类账户核对；,本科,1,2023-04-10 13:28,美的集团,3001人及以上,广东,汽车|机械|制造
国盛证券人力资源总部实习生,70-90元/天,3个月,岗位职责： 1、协助组织区域总部人员招聘、培训等工作； 2、协助办理区域总部入、转、调、离等相关手续； 3、协助办理上海地区落户、居住证等相关事宜；,本科,1,2023-04-10 14:31,国盛证券,1001~3000人,上海,金融
人力资源助理实习生,120-130元/天,6个月,【岗位职责】,本科,2,2023-04-10 10:13,科锐国际,3001人及以上,北京,咨询/法律/人力资源
医学代表实习生-辽宁,120-150元/天,3个月,1. 遵循国家，行业和公司的法规，秉持高标准的商业规范。,本科,30,2023-04-10 15:07,阿斯利康,3001人及以上,上海,生物|医药
Business Analysis 助理商业分析师,9-12K/月,3个月,工作内容：,硕士,20,2023-04-10 14:11,凯捷咨询,3001人及以上,上海,咨询/法律/人力资源
