岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
线上运营志愿者（长期）,面议,3个月,"1. 后台投稿处理，及文章排版工作（公众号文章排版）
2. 作者相关工作：文章授权、作者要约和沟通
3. 网站运营相关工作：问答内容准备、文章评论等
4. 其他内容相关工作",大专,2,2025-07-03 17:41,人人都是产品经理,101~300人,广东,教育培训
信审实习生,150-180元/天,6个月,"1. 协助信审团队，对融资租赁项目涉及的企业资料进行信息梳理与核对，确保资料完整、数据准确；
2. 在公开平台进行信息查询与搜集，整理并总结关键内容，用于企业资质评估；
3. 完成上级交办的其他临时工作，协助团队推进日常业务。",本科,1,2025-07-02 12:07,亿多世,101~300人,广东,金融
市场实习生,150-200元/天,3个月,"1、根据项目特点撰写宣传文案；
2、能够进行英文资料翻译和日常的语言沟通；
3、配合完成项目相关的落地活动执行；
4、配合完成演出项目相关的营销策划；",本科,2,2025-07-03 11:26,四海一家,11~50人,北京,广告|传媒|文化|体育
棕榈资本2025实习生转正名额等你锁定！【投资实习生/分析师 - AI方向150/天】,145-150元/天,3个月,"【工作内容】

1、深度参与并挖掘早期AI创业项目，参与项目筛选或细分赛道的行业mapping与分析
2、与创业者、行业专家交流，一线感知AI创业和融资温度
3、完成行业研究，bp，datapack等融资相关材料",本科,5,2025-07-03 13:04,棕榈资本,11~50人,上海,金融
人力资源/hrbp实习生,50-100元/天,3个月,"1. 负责完成公司的招聘目标，快速满足各部门的招聘需求；
2. 每天开拓和维护各类招聘渠道，策划招聘文案，运营招聘维护公众号；
3. 候选人电话联系交流。",本科,5,2025-07-03 13:08,腾讯,3001人及以上,北京,互联网|游戏|软件
Intern – Recruiting Associate/招聘顾问,140-150元/天,4个月,"- Collaboration with the Associate team to support the project execution that allow us to produce talent & market analysis reports. Successfully managing projects will require excellent organization, documentation, and communication skills, and the ability to manage the process within a diversified team. Daily tasks will focus on organization, configuration, and documentation. 
协助团队参与项目，完成初步的人才市场分析报告。一个成功的项目需要良好的组织，书面报告制作，和沟通的能力，并且可以与不同的团队建立良好的合作关系。
- The Intern-Researcher Analyst works within the Associate team and reports to the different project leaders; collaborating across the different project teams working on Project Management, Talent Mapping, Market Analysis, and Data Collecting.
招聘顾问需要在日常工作中支持不同的项目负责人；参与并协作不同的管理、人才分析、市场分析和数据收集项目。",本科,1,2025-07-01 15:12,Amrop,1001~3000人,上海,咨询/法律/人力资源
Industry Research Assistant Intern,100-150元/天,长期,"Location: Shanghai or Hong Kong
Internship Type: Part-time (no less than 3 days per week)
Potential for Full-Time Offer: Yes

About the Role
We are seeking a highly motivated and detail-oriented Industry Research Assistant Intern to join our team. In this role, you will support our industry research team in organizing and analyzing internal data, understanding industry-specific nuances, and contributing to project reporting. This internship offers hands-on experience in industry analysis and talent research, with opportunities to participate in client meetings and candidate interviews.

Key Responsibilities
1. Assist the industry research team in organizing and updating internal data.
2. Analyze data to identify trends and insights across different industries.
3. Support the preparation of project reports and provide suggestions for improvement.
4. Participate in industry research projects, including client meetings and conversations with potential candidates.
5. Help compile and refine research findings into structured reports.
6. Demonstrate a strong interest in pursuing a long-term career in the talent advisory industry.",本科,2,2025-07-01 16:28,Amrop,1001~3000人,上海,咨询/法律/人力资源
新媒体实习生,150-200元/天,长期,"负责微信、微博、抖音、B站等自媒体平台的日常运营及推广工作；
思维敏捷、活跃，具有敏锐捕捉热点事件，策划热点事件能力，为粉丝策划与提供优质、有高度传播性的内容；
能够在知乎、微博、天涯、豆瓣、微信等各类互联网的论坛/社群与会员粉丝进行日常互动；
负责新媒体运营数据的统计汇总和分析，总结经验与策略调整。
定期策划热点话题及站内站外的线上活动；
负责公司线上品牌建设工作，包括品牌定位、品牌策略、品牌创意及宣传等；",本科,2,2025-07-03 15:26,四海一家,11~50人,北京,广告|传媒|文化|体育
实习编辑,100-120元/天,3个月,"1、负责公众号的内容排版，配图，等一应相关执行类工作；  
2、负责电商店铺的售前、售后等客服工作，在消费者和供应商之间做好沟通协调  ；
3、负责选品文案卖点的提炼和撰写，配合电商运营人员产出合格文案 ； 
4、负责公众号平台内容的分发、编辑和上传  ；
5、负责公众号文章的白名单审核、开白等工作  ；
6、负责数据分析整理等其他部门负责人交予的其他工作  。",本科,1,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
营销编辑实习生,100-120元/天,3个月,"岗位职责：
1、协助编辑图书在传统媒体及新媒体的宣传推广工作，包括营销文案、书讯、书评等撰写；
2、配合组织实施新书发布会、读者见面会、新书签售等市场活动。
3、配合部门进行脚本撰写、剪辑拍摄视频。
4、纯实习，无转正机会。",本科,1,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
