数据实习生,4500,4500,2,高普路1035号5楼,大专,经验不限,0,盛祺信息,150-500人,"['互联网', '计算机软件']",上市公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位职责】</strong></p><p>1、协助完成增值服务项目执行过程各阶段工作，包括财务/资产数据分析，盘点，数据更新，数据挖掘等；</p><p>2、定期协助客户单位进行资产系统维护，落实并执行数据托管等工作内容；</p><p>3、协助商务人员进行项目进度的跟踪、需求收集以及项目验收等工作；</p><p>4、协助完成其他项目执行工作及部门日常工作。</p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【任职要求】</strong></p><p>1、大专以上学历，计算机和会计专业优先；</p><p>2、熟悉常用办公软件及服务器操作系统Windows Server/Linux/Unix；</p><p>3、掌握数据库SQLServer,Oracle及计算机网络知识；</p><p>4、能接受广东省内出差。</p>']"
数据分析师,2000,3000,1,辽宁沈阳,本科,经验不限,5,凯捷,5000-10000人,"['互联网', '软件']",民营公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位职责】：</strong></p><p> 1、协助大数据平台、ETL程序的搭建，商业智能报表的研发、日常维护和优化，以及后 台数据库需求开发（满足其中一项即可） </p><p>2、熟悉SQL开发，了解Oracle/DB2/MySQL等一种主流数据库及常用优化方法，扎实的编程能力 </p><p>3、了解常见数据平台架构者优先：例如Hadoop，Spark，Hive，Storm，Kafka,Control-M等，商业智能报表的研发 </p><p>4、了解常见报表开发工具，如 ：PowerBI，Tableau，SmartBI等（分析）负责数据收集和清洗 ，负责数据分析和可视化报表开发，负责数据建模和预测 </p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位要求】：</strong></p><p>1、 2024届本科生、研究生；</p><p>2 、计算机及相关专业、理工专业及机电专业本科或以上学历优先； </p><p>3 、英语四级相当 ，能使用英文进行听说读写，英语六级通过者转正后有额外补贴; </p><p>4 、具有良好的逻辑分析和解决问题的能力； </p><p>5 、具备沟通协调能力和良好的团队协作精神； </p><p>6 、适应力强且喜欢接受挑战，能在压力下工作；</p><p>7 、熟练掌握 VUE、Java、net、ABAP等开发语言及测试语言者优先； </p><p>8、 熟练 SQL开发，其他大数据分析工具者优先，具备 Hadoop 开发经验者优先； </p><p>9、 接受出差，适应力强且喜欢接受挑战，能在压力下工作； 全职5天实习+毕业后转正，考试、答辩可以请假 </p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【薪资待遇】</strong></p><p> 实习2200-3000，提供住宿； 转正预计5-8K，13薪，不提供住宿 </p><p>【备注】 简历命名：学校名称 -就读专业 - 姓名 - 意向职位 所有进入凯捷实习的同学都是以转正为目的，实习期间我们会提供岗前培训，及配有前辈导师带教，务求让同学们在从学生变身为社会职场人的过程中得到全方位技能提升及照顾。在大学的最后一年到凯捷实习不但能为转正成为正式员工打下坚实的技术和职场人脉基础，还能获得豁免转正试用期的优待哦！</p>']"
SFDC开发,2200,3000,1,辽宁沈阳,本科,经验不限,5,凯捷,5000-10000人,"['互联网', '软件']",民营公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位职责】</strong></p><p><br></p><p> 1. 参与Saleforce系统开发建设；程序单元测试 ，及时修正软件缺陷，确保开发代码质量； </p><p>2. 团队合作 ，与项目组成员共同完成IT解决方案的实施；</p><p> 3. 负责对业务部分提供上线支持与培训；</p><p> 4. 参与公司及部门的其他项目与工作。 </p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位要求】 </strong></p><p>1. 2024届本科生、研究生-东北户籍，不限高校； </p><p>2. 计算机及相关专业、理工专业及机电专业本科或以上学历优先； </p><p>3. 英语四级相当 ，能使用英文进行听说读写，英语六级通过者转正后有额外补贴； </p><p>4. 具有良好的逻辑分析和解决问题的能力； </p><p>5. 具备沟通协调能力和良好的团队协作精神；</p><p> 6. 适应力强且喜欢接受挑战，能在压力下工作； </p><p>7. 熟练掌握 VUE、Java、net、ABAP等开发语言及测试语言者优先； </p><p>8. 熟练 SQL开发，其他大数据分析工具者优先，具备 Hadoop 开发经验者优先； </p><p>9. 接受出差，适应力强且喜欢接受挑战，全职5天实习+毕业后转正，考试、答辩可以请假 【薪资待遇】 实习2200-3000，提供住宿； 转正预计5-8K，13薪，不提供住宿</p>']"
初级AI算法工程师,15000,24000,1,广东省广州市天河区软件路15号第二层201室、三、四层,硕士,经验不限,0,德生科技,1000-9999人,['计算机软件'],上市公司,"['<p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">公司核心自主研发智能知识运营产品，依托大模型、数字人、大数据等技术，建设智能服务系统和大平台化政务民生运营。</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204); background-color: rgb(255, 255, 255);\\"">【岗位职责】</strong></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">1、基于公司核心自研产品（如智能知识运营产品、就业、大数据等），负责研发和构建算法模型，并不断完善和优化算法；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">2、负责研究文本、图片、视频等多种内容数据的语义理解的算法和技术，应用于实际场景。</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204); background-color: rgb(255, 255, 255);\\"">【任职资格】</strong></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">1、应届研究生或本科学历，数学/统计学/计算机/人工智能相关专业；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">2、精通至少一种编程语言python/Java / C / C++ ；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">3、熟练掌握各种机器学习算法，包括但不限于线性回归、逻辑回归、决策树、随机森林、支持向量机、KNN、K-means、深度学习等；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">4、熟悉NLP深度学习相关模型（Transformer、BERT和GPT等），熟悉语义理解、知识图谱、智能对话及强化学习等理论和技术；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">5、目标导向，拥有较强的沟通协作能力；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">6、对前沿技术充满激情，有自我钻研学习的热情；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">7、具有向量数据库，RAG方向技术设计、大模型经验者优先。</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204); background-color: rgb(255, 255, 255);\\"">【岗位机会】</strong></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">1、参与大模型和业务融合的技术和项目锻炼；</span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">2、公司核心战略产品，巨大的业务价值和社会价值。</span></p>']"
运维工程师（网络）,10000,15000,1,深圳南山区紫光信息港C座12层,本科,1-3年,0,睿联,500-999人,['智能硬件'],民营公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位职责】</strong></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">1、根据既定的运维目标，流程制度和操作手册，负责网络基础设施如机房/办公网络，各种网络设备的维护和网络监控。挖掘现存系统的需求和安全漏洞，优化并反馈办公环境/系统网络安全和运行体验； </span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">2、负责设计和优化公司网络架构，根据用户场景输出网络优化和安全方案； </span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">3、负责快速定位网络故障并解决，高效处理网络运维事故，降低系统性风险； </span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">4、负责机房及相关网络设备的参数选型，安全管理和策略变更等； </span></p><p><span style=\\""color: rgb(34, 34, 34); background-color: rgb(255, 255, 255);\\"">5、负责定期更新和归档网络设备配置，技术资料，教程，维护日志等以供调阅。</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【任职要求】</strong></p><p><span style=\\""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34);\\"">1、本科以上学历，计算机相关专业，有2年以上网络/跨境电商运维等相关经验； </span></p><p><span style=\\""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34);\\"">2、具有良好的网络/存储等计算机体系结构和运维基本概念、信息安全管理和IT审计要求知识； </span></p><p><span style=\\""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34);\\"">3、具有独立网络排障能力，迅速定位丙级快速处理大中型网络紧急事件及疑难问题； </span></p><p><span style=\\""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34);\\"">4、熟悉主流网络设备，如路由器，交换机，防火墙，AC/AP，服务器的安装和配置； </span></p><p><span style=\\""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34);\\"">5、良好的文档撰写和语言表达能力，良好的团队精神和责任心；</span></p><p><span style=\\""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34);\\"">6、具有主流网络或安全设备厂商工作经验者，或CCIE/HCIE同等级证书优先。</span></p>']"
AI短视频运营-25届,3000,3600,2,广州海珠区磨碟沙地铁站东升云鼎大厦7、8、9楼 ,本科,经验不限,15,广州天使儿童医院,100-500人,['医疗健康'],民营公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位职责】</strong></p><p>主要是使用ai工具制作视频进行各大平台发布，账号运营！</p><p><span style=\\""color: rgb(68, 68, 68);\\"">1、负责医生短视频账号的运营工作， 结合医院战略定位制定运营策略; </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">2、结合医生科室属性策划内容，把控 视频内容方向，控制视频内容的创意和 品质; </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">3、根据平台运营逻辑分析数据，不断 优化内容方向，有效提高曝光量、播放量及粉丝量，对运营效果负责。</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【任职要求】</strong></p><p><span style=\\""color: rgb(68, 68, 68);\\"">1、会使用pr、剪映等剪辑软件（其中一 种）； </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">2、有良好的文字表达能力和审美观，扎 实的中文写作功底； </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">3、工作严谨，认真负责，有较强的团队 合作意识，良好协调能力和亲和力，踏 实肯干，能承受较强的工作压力。</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【福利待遇】</strong></p><p><strong style=\\""color: rgb(68, 68, 68);\\"">包食宿 ：</strong><span style=\\""color: rgb(68, 68, 68);\\"">公司有员工食堂，提 供一日三餐，提供员 工宿舍，让您吃得健 康，住得放心&nbsp;；</span></p><p><strong style=\\""color: rgb(68, 68, 68);\\"">员工培训成长 ：</strong><span style=\\""color: rgb(68, 68, 68);\\"">完善的部门培训计划， 让高校的学子能迅速 成长适应到工作当中。 </span></p><p><strong style=\\""color: rgb(68, 68, 68);\\"">高提成 ：</strong><span style=\\""color: rgb(68, 68, 68);\\"">提成高，待遇好，多 劳多得，不根据工龄 定薪资 ；</span></p><p><strong style=\\""color: rgb(68, 68, 68);\\"">五险 ：</strong><span style=\\""color: rgb(68, 68, 68);\\"">转正即购买五险，保 障员工基础福利 </span></p><p><strong style=\\""color: rgb(68, 68, 68);\\"">评比奖金：</strong><span style=\\""color: rgb(68, 68, 68);\\"">每月设立评比榜单， 设有额外的奖金，鼓励优秀人才；</span></p><p><br></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【薪资架构 】</strong></p><p><span style=\\""color: rgb(68, 68, 68);\\"">入职1-3个月薪资为:2500元/人/月+提成 </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">入职4-6个月薪资为:2800元/人/月+提成 </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">入职7-12个月薪资为:3000元/人/月+提成 </span></p><p><strong style=\\""color: rgb(0, 102, 204);\\""><em><u>是否包吃：(包吃) 公司提供早、中、晚三餐 </u></em></strong></p><p><span style=\\""color: rgb(68, 68, 68);\\"">是否包住: (包住) 住宿2-4人一间:水电平摊 </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">工作时间:早上8:30至下午17:30 </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">月休天数:月休4天 </span></p><p><span style=\\""color: rgb(68, 68, 68);\\"">节假曰福利:补贴、放假、旅游、礼物、游戏</span></p>']"
售后技术支持,3500,3500,1,深圳市罗湖区中设广场 A 座 ,本科,经验不限,5,软通动力,10000人以上,"['互联网', '计算机软件']",上市公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">【岗位职责】</strong></p><p>1、作为阿里云智能在客户侧的服务界面，全流程深入了解大型企业业务场景，与企业的IT、应用架构、人员合作，针对客户现有IT架构进行梳理与分析，协助并提供IT整体架构战略规划的咨询，协同售前架构师所提供的设计方案的落地、实施和交付工作。</p><p>2、基于阿里云的产品线、技术体系，帮助企业级客户制定IT架构和业务流程，包括定制的最佳实践、异常处理机制和问题应急预案等。帮助客户深度理解云服务，并持续帮助客户提升技术能力，达成技术目标，克服技术挑战。</p><p>3、推动阿里云智能产品不断优化</p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【任职资格】</strong></p><p>1、要求全部统招全日制本科；</p><p>2、要求全部计算机专业；</p><p>3、学科考试分数优秀的同学进行选拔；</p><p>4、需要供应商了解清楚同学的稳定性规划；</p><p>5、需要供应商进行首轮面试，首轮面试需要供应商自行按照技能线进行出题（按照技能线，题目主要围绕学校学习基础理论进行出题）打分，分值100分，打分80以上的进入供应商第一轮面试；</p><p>6、需要重点关注同学沟通表达能力、学习能力、思维应变能力和沟通技巧能力</p><p><br></p><p><strong style=\\""color: rgb(255, 0, 0);\\"">加分项： </strong></p><p>1．有实际 Linux 驱动开发经验者或程序设计大赛优先。</p><p>2．对 Android HAL 或者 Linux 驱动源码任一模块有深入分析优先。</p><p>3. 熟悉 Git 等版本控制工具者优先。</p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【实习薪资】</strong></p><p>3500 元/月，不包食宿，&nbsp;</p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【转正薪资】</strong></p><p>6500-7500元/月</p><p><br></p><p><strong style=\\""color: rgb(230, 0, 0); background-color: rgb(255, 255, 0);\\"">【工作地点】</strong></p><p><span style=\\""color: rgb(230, 0, 0); background-color: rgb(255, 255, 0);\\"">广州、深圳</span></p><p><br></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【简历投递】</strong></p><p>1、<strong style=\\""background-color: rgb(253, 253, 253);\\"">简历命名：</strong><span style=\\""background-color: rgb(253, 253, 253);\\"">姓名-学校-求职岗位-意向工作地点（例如：张三-广州大学-手机测试-广州）</span></p><p>&nbsp;</p><p><span style=\\""color: rgb(0, 102, 204);\\"">【</span><strong style=\\""color: rgb(0, 102, 204);\\"">录用相关</strong><span style=\\""color: rgb(0, 102, 204);\\"">】</span></p><p>1、面试通过接受offer入职后，公司与应届生可按学校要求签订三方协议；</p><p>2、根据具体岗位约定到岗时间；</p><p>3、毕业后再入职需获得毕业证书，公司与应届生签订正式劳动合同。</p><p><span style=\\""color: rgb(0, 102, 204);\\"">&nbsp;</span></p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【员工福利】</strong></p><p>1、员工福利：周末双休、转正提供五险一金、传统节日礼品、专项培训、定期体检、带薪年假；</p><p>2、员工活动：生日会、运动会、亲子活动、各类球类活动、年终晚会、表彰会等多项员工活动。</p>']"
后台开发工程师,8000,12000,1,广州市天河区灵山东路4号801,大专,3-5年,0,云仓库,20-99人,['企业服务'],民营公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">工作内容及岗位要求：</strong></p><p>1、认可公司的品牌文化，有良好的工作态度和团队合作精神，善于沟通，具有较强的理解、领悟能力，接受加班。</p><p>2、3年以上开发经验，有大型分布式、高并发、高负载、高可用性系统设计开发经验优先。</p><p>3、有扎实的Java基础（熟悉IO、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制）;</p><p>4、对复杂的服务端系统有架构、优化经验，熟悉主流开源应用框架，如Spring cloud、Zuul、Redis、Rabbitmq等技术。</p><p>5、精通Oracle、达梦等数据库，具有良好的数据库设计能力、SQL编写能力、性能调优能力；&nbsp;</p><p>6、可掌握Linux方面的运维、部署经验。熟练采用Maven、Git，以及Docker、Jenkins、Nginx等技术；&nbsp;</p><p>7、自备电脑、有较强的抗压能力，熟练的沟通技巧，执行力强，具有优秀的团队合作精神优先。</p>']"
数据分析师类（模型开发）,7000,10000,1,广州市天河区灵山东路4号801,本科,1-3年,0,云仓库,20-99人,['企业服务'],民营公司,"['<p><strong style=\\""color: rgb(0, 102, 204);\\"">工作内容及岗位要求：</strong></p><p>1、能够与业务部门沟通，理解他们的需求，根据需求提供数据支持，帮助他们解决问题和改进业务流程。</p><p>2、能够建立并维护模型开发相关流程，包括模型的开发、监控、实施、迭代等工作。</p><p>3、能够对模型进行数据测试并依据测试结果优化模型提升模型准确率。</p><p>4、能够独立编制模型汇编，在模型开发完成后，需编制模型相关信息汇编。</p>']"
数据仓库/大数据开发工程师,3000,4500,2,金书大厦1单元703,本科,经验不限,0,壹加数据,10000人以上,['汽车研发/制造'],民营公司,"['<p><br></p><p><strong style=\\""background-color: rgb(255, 255, 255); color: rgb(0, 102, 204);\\"">【职位要求】</strong></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">1、参与项目调研、需求分析及设计，撰写需求开发文档等工作；</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">2、参与数据仓库的建设和维护；</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">3、参与软件规划以及数据处理（抽取、清洗、转化）；</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">4、参与模型设计与算法实现以及数据可视化设计与开发；</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">5、参与建设企业级数据中台（数据中心、数据湖）。</span></p><p><br></p><p class=\\""ql-align-justify\\""><strong style=\\""color: rgb(0, 102, 204); background-color: rgb(255, 255, 255);\\"">【工作职责】</strong></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">1、有较强的沟通表达能力以及学习能力；</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">2、计算机专业，数据科学与大数据技术相关专业，对企业大数据/数据仓库/数据中心/数据中台/数据湖领域感兴趣学习能力强，可接受出差;</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">3、了解其中一种主流数据库的基本操作: 如Oracle、MS SQL Server、DB2，熟练学握SQL基本语法;</span></p><p class=\\""ql-align-justify\\""><span style=\\""color: rgb(0, 0, 0);\\"">4、了解其中一种数据处理语言: 如JAVA、DOTNET、Python等。</span></p><p class=\\""ql-align-justify\\""><br></p><p><strong style=\\""color: rgb(0, 102, 204); background-color: rgb(255, 255, 255);\\"">【薪资福利】</strong></p><p>实习待遇： 100-120元/日</p><p>本科生第一年起薪：6-8K （不含下述福利）</p><p>研究生第一年起薪：8-11K （不含下述福利）</p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【机票车票报销】</strong>每 月 1 次项目地往返 base 地机票 / 车票报销</p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【健身娱乐报销】</strong>健身器材+电影票报销额度</p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【涨薪计划】</strong>每半年项目经验调薪1 0 % - 2 0 %（ 次 ）</p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【项目管理奖金】</strong>全员项目管理奖金新人按项目业绩发放，500-2000元/ 个项目</p><p><strong style=\\""color: rgb(0, 102, 204);\\"">【暖心关怀】</strong>节假日福利、生日礼金</p><p class=\\""ql-align-justify\\""><strong style=\\""color: rgb(0, 102, 204);\\"">【晋升通道】</strong>每做半年项目一次加薪晋升机会！</p><p class=\\""ql-align-justify\\""><strong>技术通道</strong>--技术研究院</p><p class=\\""ql-align-justify\\""><strong>业务通道--</strong>业务研究院</p><p class=\\""ql-align-justify\\""><strong>管理通道</strong>--PMO办公室</p>']"
