岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
实习生,116.67,长期,"['集团', '包含', '项目', '岗位', '实习']",大专,10,2023-02-22 10:48:00,诚信行物业,3001人及以上,广东省,建筑|地产|家居,2023-02-22,2023
HR实习生-招聘方向,135.0,3个月,"['工作', '地点', '深圳']",本科,2,2021-09-16 16:35:00,小米,3001人及以上,北京市,互联网|游戏|软件,2021-09-16,2021
社区内容运营实习,175.0,长期,"['负责', '挖掘', '头像', '壁纸', '表情', '包', '素材', '内容', '流行', '趋势', '玩法']",本科,1,2023-04-10 16:33:00,堆糖,51~100人,上海市,互联网|游戏|软件,2023-04-10,2023
客户执行实习生,135.0,3个月,"['协助', '客户经理', '做好', '客户', '后续', '衔接', '公司', '内部', '相关', '执行', '工作']",本科,2,2023-03-23 10:13:00,爱点击,1001~3000人,上海市,互联网|游戏|软件,2023-03-23,2023
国际物流管理实习生,165.0,3个月,"['\xa0', '负责', '制单', '要求', '制作', '发票', '箱单', '产地证', '负责', '出具', '海运', '保单', '需', '单证', '负责', '客户', '确认', '全套', '资料']",本科,1,2023-03-30 10:49:00,美的集团,3001人及以上,广东省,汽车|机械|制造,2023-03-30,2023
人事实习生,83.33,3个月,"['协助', '办理', '集团', '事业部', '所有', '员工', '入', '离职', '登记']",本科,1,2023-04-07 18:53:00,悍高集团股份有限公司,1001~3000人,广东省,建筑|地产|家居,2023-04-07,2023
剪辑实习生,135.0,3个月,"['主要', '负责', '公司', '旗下', '红', '艺术家', '设计师', '抖音', '小红书', 'B', '站', '内容', '剪辑', '前期', '同事', '脚本', '需求', '完成', '剪辑', '节奏', '结构', '字幕', '效果', '音效', '创作']",本科,1,2023-04-06 11:43:00,爱点击,1001~3000人,上海市,互联网|游戏|软件,2023-04-06,2023
校园招聘助理实习生,110.0,4个月,"['A股', '上市公司', '科锐', '国际', '校园', '招聘', '业务', '招聘', '助理', '实习生']",本科,1,2023-04-10 10:13:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-10,2023
短期线上录入实习生,175.0,1个月,"['项目', '类型', '信息', '审核', '兼职']",不限,10,2023-04-07 16:30:00,点米科技,301~1000人,广东省,互联网|游戏|软件,2023-04-07,2023
战略客户总部实习生,135.0,3个月,"['网络', '相关', '市场', '资讯', '企业', '年报', '竞品', '趋势', '进行', '搜索', '整理', '分析']",本科,1,2023-04-04 11:27:00,云南信托,101~300人,上海市,金融,2023-04-04,2023
PR实习生,175.0,5个月,"['完成', '舆情', '周报', '竞品', '日报', '简报', '专报', '撰写', '工作']",本科,1,2023-04-10 13:56:00,货拉拉,3001人及以上,广东省,互联网|游戏|软件,2023-04-10,2023
财务实习生,110.0,3个月,"['报销', '单据', '初审', '入账', '工作']",本科,2,2023-04-07 16:13:00,碧桂园集团,3001人及以上,广东省,建筑|地产|家居,2023-04-07,2023
策划实习生,125.0,6个月,"['协助', '策划', '筹备', '执行', '线下', '会议', '营销', '活动', '包括', '展会', '区域', '经销商', '新品', '发布会']",本科,1,2023-04-07 09:38:00,理邦仪器,1001~3000人,广东省,生物|医药,2023-04-07,2023
新媒体运营实习生,125.0,6个月,"['工作', '职责']",本科,1,2023-04-06 16:19:00,理邦仪器,1001~3000人,广东省,生物|医药,2023-04-06,2023
人力资源实习生,125.0,6个月,"['协助', '人力资源', '日常', '事务性', '工作', '特别', '招聘', '工作', '开展', '配合', '专业', '项目', '工作', '组织', '落地']",本科,1,2023-04-10 09:38:00,华润三九,3001人及以上,广东省,生物|医药,2023-04-10,2023
猎头/招聘实习生,135.0,3个月,"['猎头', '招聘', '实习生', '需', '深圳', '线下', '实习', '\xa0']",本科,5,2023-04-07 17:42:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-07,2023
Marketing Intern-上海乐高乐园度假区,149.5,长期,['Responsibilities'],本科,1,2023-04-06 16:28:00,上海乐高乐园度假区,1001~3000人,上海市,生活服务,2023-04-06,2023
财务管理实习生,135.0,长期,"['协助', '进行', '科目', '对账', '资金', '账户', '核对']",本科,1,2023-04-10 13:28:00,美的集团,3001人及以上,广东省,汽车|机械|制造,2023-04-10,2023
国盛证券人力资源总部实习生,80.0,3个月,"['岗位职责', '\xa0', '协助', '组织', '区域', '总部', '人员', '招聘', '培训', '工作', '\xa0', '协助', '办理', '区域', '总部', '入', '转', '调', '相关', '手续', '\xa0', '协助', '办理', '上海地区', '落户', '居住证', '相关', '事宜']",本科,1,2023-04-10 14:31:00,国盛证券,1001~3000人,上海市,金融,2023-04-10,2023
人力资源助理实习生,125.0,6个月,['岗位职责'],本科,2,2023-04-10 10:13:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-10,2023
医学代表实习生-辽宁,135.0,3个月,"['\xa0', '遵循', '国家', '行业', '公司', '法规', '秉持', '高标准', '商业', '规范']",本科,30,2023-04-10 15:07:00,阿斯利康,3001人及以上,上海市,生物|医药,2023-04-10,2023
[2024届实习可转正] 保险产品实习生-大连/上海,170.0,3个月,"['业务', '需求', '协助', '导师', '研究', '互联网', '保险市场', '趋势', '竞品', '动态', '完成', '保险产品', '市场调研', '需求', '收集', '形态', '设计', '上线', '推动', '产品', '营销', '全过程', '进行', '创新', '产品设计', '开发']",本科,18,2023-04-10 16:28:00,众安,1001~3000人,广东省,互联网|游戏|软件,2023-04-10,2023
